company,job_title,location,source_platform,salary,date_posted,job_link,is_duplicate,priority,relevance_score,classification_reason,application_status
Molten Cloud,QA Automation Engineer,Remote,Get on Board,"$36,000 - $48,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
Devsu,DevOps Engineer (GCP & Kubernetes),Remote,Get on Board,"$42,000 - $60,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
Devsu,Cloud Architect / Enterprise AI,Remote,Get on Board,"$50,000 - $75,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Niuro,"Product Manager, Payments & API",Remote,Get on Board,"$28,800 - $33,600",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Niuro,Lead Data Engineer,Remote,Get on Board,"$36,000 - $42,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Factor IT,Senior BI Consultant,Remote,Get on Board,"$30,000 - $45,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Equifax,Senior Software Developer Java,Remote,Get on Board,"$32,400 - $34,800",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Healthatom,Software Development Engineer,Remote,Get on Board,"$35,000 - $50,000",,Apply Link,False,Low Priority,3,Title does not provide a strong match for the current title-only rules.,Saved
Pro Coffee Gear,E-commerce Merchandising Manager,"Remote, US",RemoteRocketship,"$85,000 - $115,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Marketplace Inc,"Senior .NET Developer, E-commerce",Remote,RemoteRocketship,"$110,000 - $155,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
Koch Foundation,Director of Grant Compliance,"Gainesville, FL",Catholic Jobs,"$95,000 - $130,000",,Apply Link,False,Not Applying,1,"Title indicates a senior, leadership, management, or clearly advanced role.",Not Applying
